SampleIndex,Timestamp,Ax,Ay,Az,Gx,Gy,Gz,RMS,Pitch,Roll,StepCount
196,1768267282,224,-22,8020,100,79,-22,135.86,0.04,-1.91,1
197,1768267282,232,38,7938,102,80,-29,135.86,0.11,-1.88,1
198,1768267282,292,28,7962,97,79,-25,135.86,0.15,-1.94,1
199,1768267282,306,16,8052,98,77,-26,135.86,0.17,-2.01,1
200,1768267282,272,28,8016,101,83,-27,135.86,0.2,-2.01,1
201,1768267282,240,-10,8000,103,81,-27,135.86,0.17,-1.97,1
202,1768267282,258,-50,7946,95,82,-31,135.86,0.08,-1.97,1
203,1768267282,318,-58,7972,95,81,-31,141.16,0.01,-2.05,1
204,1768267282,258,0,8016,97,77,-27,141.16,0.03,-2.03,1
205,1768267282,298,30,7982,101,77,-22,141.16,0.09,-2.07,1
206,1768267282,320,16,8018,94,83,-29,141.16,0.12,-2.13,1
207,1768267282,302,20,7988,101,82,-28,141.16,0.14,-2.16,1
208,1768267282,264,28,8056,99,79,-36,141.16,0.18,-2.12,1
209,1768267282,232,30,7992,103,82,-29,141.16,0.21,-2.05,1
210,1768267282,266,-10,8006,97,76,-22,141.16,0.18,-2.04,1
211,1768267282,312,-24,7968,96,75,-26,141.16,0.13,-2.09,1
212,1768267282,234,24,8136,103,85,-29,141.16,0.16,-2.02,1
213,1768267282,294,4,7976,96,83,-28,141.16,0.16,-2.06,1
214,1768267282,350,64,7968,98,81,-31,141.16,0.24,-2.17,1
215,1768267282,338,-4,8040,97,81,-26,141.16,0.21,-2.24,1
216,1768267282,300,-12,8090,98,80,-24,141.16,0.17,-2.23,1
217,1768267282,270,10,7976,102,78,-27,141.16,0.18,-2.19,1
218,1768267282,298,12,8066,100,74,-25,141.16,0.18,-2.19,1
219,1768267282,248,-38,8026,96,73,-23,141.16,0.11,-2.13,1
220,1768267282,286,16,7960,102,79,-25,141.16,0.14,-2.13,1
221,1768267283,258,2,7952,104,81,-19,141.16,0.14,-2.09,1
222,1768267283,280,-20,8008,108,80,-27,141.16,0.11,-2.09,1
223,1768267283,294,30,8036,98,77,-32,141.16,0.15,-2.11,1
224,1768267283,292,6,8026,98,76,-25,141.16,0.15,-2.12,1
225,1768267283,286,8,7992,102,77,-19,141.16,0.16,-2.13,1
226,1768267283,268,12,8002,96,79,-19,141.16,0.17,-2.1,1
227,1768267283,272,-22,8044,100,75,-28,141.16,0.12,-2.09,1
228,1768267283,282,-22,8000,101,75,-33,153.86,0.09,-2.09,1
229,1768267283,258,34,7978,102,74,-30,153.86,0.15,-2.06,1
230,1768267283,310,22,7926,103,79,-28,153.86,0.17,-2.11,1
231,1768267283,298,-40,8026,99,81,-26,153.86,0.1,-2.14,1
232,1768267283,322,-20,8082,97,78,-23,153.86,0.08,-2.18,1
233,1768267283,190,-4,8000,103,76,-29,153.86,0.08,-2.04,1
234,1768267283,0,56,8122,102,70,-26,153.86,0.17,-1.64,1
235,1768267283,268,28,8064,102,80,-26,153.86,0.2,-1.72,1
236,1768267283,270,-14,8196,106,73,-25,153.86,0.16,-1.77,1
237,1768267283,340,-50,7988,95,72,-28,153.86,0.08,-1.92,1
238,1768267283,326,-8,7836,95,69,-38,153.86,0.08,-2.03,1
239,1768267283,246,86,8124,98,89,-27,153.86,0.2,-1.99,1
240,1768267283,334,-18,8034,95,83,-22,153.86,0.16,-2.09,1
241,1768267283,358,14,7844,104,76,-17,153.86,0.17,-2.21,1
242,1768267283,142,-58,8106,101,81,-34,153.86,0.08,-1.99,1
243,1768267283,358,4,7860,99,75,-32,153.86,0.09,-2.13,1
244,1768267283,404,72,7926,92,75,-25,153.86,0.2,-2.3,1
245,1768267283,206,56,8078,103,80,-19,153.86,0.26,-2.15,1
246,1768267283,432,22,7838,103,70,-26,153.86,0.27,-2.37,1
247,1768267283,-168,-10,8348,106,98,-33,153.86,0.22,-1.69,1
248,1768267283,912,40,7496,106,62,-37,153.86,0.27,-2.75,1
249,1768267283,130,58,8146,102,82,-26,153.86,0.32,-2.4,1
250,1768267283,716,-20,7246,97,66,-18,153.86,0.25,-3.07,1
251,1768267283,304,-114,7940,100,75,-28,153.86,0.06,-2.91,1
252,1768267283,780,112,7446,107,64,-31,153.86,0.24,-3.54,1
253,1768267283,138,76,8198,102,82,-31,102.77,0.32,-3.04,1
254,1768267283,132,12,8190,102,80,-23,102.77,0.3,-2.64,1
255,1768267283,440,32,8052,99,76,-15,102.77,0.31,-2.75,1
256,1768267283,292,4,8136,101,68,-28,102.77,0.28,-2.63,1
257,1768267283,1072,194,7690,260,124,-69,102.77,0.57,-3.72,1
258,1768267283,288,62,8156,-157,-33,-48,102.77,0.5,-3.37,1
259,1768267283,240,-50,7936,194,161,-961,102.77,0.38,-3.08,1
260,1768267283,642,-144,7422,-108,-1,-469,102.77,0.05,-3.45,1
261,1768267283,160,-434,8002,82,75,-61,102.77,-0.55,-3.01,1
262,1768267283,314,-156,7864,45,60,-33,102.77,-0.65,-2.88,1
263,1768267283,478,-34,7836,127,87,-30,102.77,-0.54,-3.02,1
264,1768267283,338,48,7928,100,82,-26,102.77,-0.34,-2.92,1
265,1768267283,318,-20,7966,83,69,-25,102.77,-0.28,-2.81,1
266,1768267283,300,24,8028,121,95,-31,102.77,-0.16,-2.7,1
267,1768267283,224,96,8038,124,87,-27,102.77,0.03,-2.5,1
268,1768267283,314,6,7992,96,81,-28,102.77,0.06,-2.47,1
269,1768267283,304,-24,7944,104,84,-24,102.77,0.04,-2.43,1
270,1768267283,262,-14,7982,97,86,-29,102.77,0.03,-2.34,1
271,1768267284,212,-10,8020,101,83,-29,102.77,0.03,-2.2,1
272,1768267284,278,24,8004,97,75,-31,102.77,0.08,-2.17,1
273,1768267284,286,38,7982,101,79,-30,102.77,0.15,-2.17,1
274,1768267284,298,16,7970,99,80,-27,102.77,0.16,-2.18,1
275,1768267284,304,-18,7962,101,81,-23,102.77,0.13,-2.2,1
276,1768267284,274,-10,7992,98,79,-24,102.77,0.11,-2.17,1
277,1768267284,254,-16,8014,102,82,-32,102.77,0.09,-2.12,1
278,1768267284,212,-26,8012,101,81,-27,111.38,0.06,-2.02,1
279,1768267284,248,-24,7972,100,76,-27,111.38,0.04,-1.99,1
280,1768267284,284,-18,8024,95,80,-31,111.38,0.02,-2.01,1
281,1768267284,332,-10,8000,100,74,-29,111.38,0.03,-2.1,1
282,1768267284,408,50,8204,105,85,-26,111.38,0.12,-2.27,1
283,1768267284,360,52,7970,100,82,-25,111.38,0.19,-2.35,1
284,1768267284,322,-28,7878,93,82,-26,111.38,0.13,-2.37,1
